Time, UserID, Wireless Signal Status, Blink, Wink Left, Wink Right, Surprise, Furrow, Smile, Clench, LongTermExcitementRawNorm, ShortTermExcitementRawNorm, ShortTermExcitementRaw, ShortTermExcitementMin, ShortTermExcitementMax, RelaxationRawNorm, RelaxationRaw, RelaxationMin, RelaxationMax, StressRawNorm, StressRaw, StressMin, StressMax, EngagementRawNorm, EngagementRaw, EngagementMin, EngagementMax, InterestRawNorm, InterestRaw, InterestMin, InterestMax, FocusRawNorm, FocusRaw, FocusMin, FocusMax,
10.81789398,8192,2,0,0,0,0,0.038778383,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
10.88803101,8192,2,1,0,0,0,0.038778383,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
10.94972992,8192,2,1,0,0,0,0.055420849,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
11.04312897,8192,2,0,0,0,0,0.055420849,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
11.07437229,8192,2,0,0,0,0,0.050290097,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.30089739,0.509362638,0.414660066,0.698741972, 
11.19882679,8192,2,0,0,0,0,0.042518545,0,0,0.018728476,0.175852805,0.509362638,0.414660066,0.698741972,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.30089739,0.509362638,0.414660066,0.698741972, 
11.324296,8192,2,0,0,0,0,0.030972533,0,0,0.018728476,0.175852805,0.509362638,0.414660066,0.698741972,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.30089739,0.509362638,0.414660066,0.698741972, 
11.44971275,8192,2,1,0,0,0,0.034454115,0,0,0.018728476,0.175852805,0.509362638,0.414660066,0.698741972,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.30089739,0.509362638,0.414660066,0.698741972, 
11.57481003,8192,2,1,0,0,0,0.027109776,0,0,0.018728476,0.175852805,0.509362638,0.414660066,0.698741972,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
11.6060791,8192,2,0,0,0,0,0.027109776,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
